id;type;quantity;comments;regular_price;sale_price;current_stock
1;I;86558;green Practical Concrete Gloves Intranet;84567;37220;79113
2;R;6148;strategy;41344;1088;82979
3;M;90983;Washington Communications;60059;10836;90179
4;n;57963;strategize;32699;99291;11908
5;F;60341;Ball payment Soft;10809;97499;7633
6;l;59070;Saint Lucia Intelligent;6222;16469;61870
7;e;96945;navigating;68612;95796;74748
8;T;47836;digital communities Interactions;7748;55733;61997
9;c;59269;Chief Azerbaijanian Manat parse;63779;9174;8086
10;S;10633;matrices synthesize magenta;9837;80591;48396
