id;payment_type;value;file;file_content_type
1;Soap Guernsey;41795;../fake-data/blob/hipster.png;image/png
2;Bacon Gabon Polarised;9004;../fake-data/blob/hipster.png;image/png
3;Music;10361;../fake-data/blob/hipster.png;image/png
4;harness solid state;51176;../fake-data/blob/hipster.png;image/png
5;lime Tools e-services;46570;../fake-data/blob/hipster.png;image/png
6;product Wooden matrix;94279;../fake-data/blob/hipster.png;image/png
7;Automotive PNG;20882;../fake-data/blob/hipster.png;image/png
8;Incredible Belarussian Ruble;15293;../fake-data/blob/hipster.png;image/png
9;Wooden;30137;../fake-data/blob/hipster.png;image/png
10;Avon payment;71713;../fake-data/blob/hipster.png;image/png
