id;name;description;enabled;image;image_content_type;regular_price;sale_price
1;Generic Steel Tuna;website calculating;true;../fake-data/blob/hipster.png;image/png;81236;38757
2;Principal;virtual wireless Computer;true;../fake-data/blob/hipster.png;image/png;89830;76808
3;deposit Sri Lanka Rupee THX;Refined Metal Car;true;../fake-data/blob/hipster.png;image/png;44573;6255
4;Generic Metal Tuna;navigating Metical;false;../fake-data/blob/hipster.png;image/png;9654;32061
5;Democratic People's Republic of Korea Internal compressing;withdrawal Bedfordshire;false;../fake-data/blob/hipster.png;image/png;60561;70316
6;Gloves Lao People's Democratic Republic;neutral;false;../fake-data/blob/hipster.png;image/png;4184;16473
7;Licensed Wooden Computer;CFP Franc aggregate;false;../fake-data/blob/hipster.png;image/png;94292;9548
8;Data Identity;Dynamic auxiliary;true;../fake-data/blob/hipster.png;image/png;90726;86396
9;Personal Loan Account yellow;Cape Verde;false;../fake-data/blob/hipster.png;image/png;27546;52784
10;Prairie;Rubber CSS;true;../fake-data/blob/hipster.png;image/png;15521;22423
